,trials,multiplications,threads,time,implementation,batchsize,effective_multiplications
121,566,302,2,1.063482458,numpy,1,170932
122,110,368,4,0.335704188,numpy,1,40480
123,971,196,4,1.190239101,numpy,1,190316
124,377,2,8,0.100364168,numpy,1,754
125,348,501,8,1.121548478,numpy,1,174348
126,309,724,2,1.348468853,numpy,1,223716
127,70,231,1,0.183080612,numpy,1,16170
128,849,175,2,0.945078222,numpy,1,148575
129,688,926,4,3.675583189,numpy,1,637088
130,387,896,4,2.062918086,numpy,1,346752
131,209,218,1,0.349948698,numpy,1,45562
132,847,915,8,4.426545818,numpy,1,775005
133,342,22,8,0.157207017,numpy,1,7524
134,500,787,8,2.295991873,numpy,1,393500
135,397,92,1,0.30319005,numpy,1,36524
136,645,911,2,3.404376674,numpy,1,587595
137,516,829,8,2.519241737,numpy,1,427764
138,556,689,4,2.272793507,numpy,1,383084
139,518,772,1,2.331323406,numpy,1,399896
140,830,63,8,0.437312995,numpy,1,52290
141,734,961,8,4.008814907,numpy,1,705374
142,965,944,8,5.280069047,numpy,1,910960
143,826,55,4,0.364221171,numpy,1,45430
144,58,273,4,0.196777748,numpy,1,15834
145,229,331,2,0.528536519,numpy,1,75799
146,688,892,4,3.49006324,numpy,1,613696
147,379,97,1,0.303928392,numpy,1,36763
148,312,235,1,0.505216555,numpy,1,73320
149,358,858,2,1.833400608,numpy,1,307164
150,313,539,2,1.049884086,numpy,1,168707
151,969,902,8,5.089160328,numpy,1,874038
152,891,513,1,2.641606537,numpy,1,457083
153,794,215,1,1.057531905,numpy,1,170710
154,585,148,1,0.584529978,numpy,1,86580
155,3,405,2,0.097971457,numpy,1,1215
156,134,858,4,0.741061381,numpy,1,114972
157,338,244,4,0.624295584,numpy,1,82472
158,18,95,1,0.103346972,numpy,1,1710
159,75,687,8,0.43615152,numpy,1,51525
160,548,121,8,0.514121609,numpy,1,66308
161,818,121,8,0.690409182,numpy,1,98978
162,280,118,4,0.300528867,numpy,1,33040
